,Ortalama,SGD Regressor,Lasso Regression,Lars Regression,Bayessian Regression,Linear Regression,Kernel Ridge,Maksimum,Minimum
2024-06-30,75.76567013217057,78.2306188300401,78.11210705461995,77.99348445286287,77.91830225207539,78.65939370220335,77.74324892324753,78.67345553662821,72.80805450609671
2024-07-31,64.81647880760706,67.99833100464028,67.90945798702064,67.69284132952392,67.64543477119742,68.61178587556162,67.59735504071791,68.62505688788254,60.99669172097953
2024-08-31,54.781423207738044,58.14079030727617,58.48820544108164,57.83140847537813,57.802644441151884,58.92047173862387,57.771686668736,59.16365271470683,50.42510875244079
2024-09-30,51.47406072860385,55.09759630015518,55.8126920632884,54.69421344176553,54.71183999776888,56.04597708090942,54.77931917927887,56.47673679619108,46.53595133504949
2024-10-31,49.80373788537524,53.88144510539987,54.777085054017995,53.51357715987071,53.49728567695493,54.910290028054895,53.48670031913949,55.436716222333885,44.27816118524348
2024-11-30,48.6118143019139,53.37244454561396,54.31821617172115,52.94417409595438,52.96444160080973,54.342859194367435,52.86245091167701,54.97589172614998,42.40998590595994
2024-12-31,48.17323371941611,53.52846141793535,54.825281832269425,53.10691182632239,53.13784755434789,54.668942002370045,53.09590323982061,55.485118406295996,41.10149312783478
2025-01-31,42.196637198642286,47.72775017553983,49.14759218610407,47.32102743928017,47.35016192508357,48.94447096283579,47.29749434515191,49.78323150216233,34.893196640219905
2025-02-28,39.380020292066064,45.08603292535578,46.72741912480654,44.67262576459146,44.70672034156098,46.3392525841517,44.5495854332838,47.352744113111456,31.73816575918551
2025-03-31,37.402134500917875,43.340025431935935,45.20343442524071,42.89883053512356,42.93133367584689,44.64529640738657,42.898539599675736,45.671237762007834,29.561459459955806
