iter	Passed	Remaining
385	2160	3436
386	2169	3436
387	2172	3427
388	2176	3418
389	2181	3411
390	2184	3401
391	2187	3393
392	2191	3385
393	2196	3378
394	2201	3371
395	2207	3366
396	2211	3358
397	2213	3348
398	2219	3342
399	2222	3333
400	2224	3323
401	2230	3318
402	2240	3319
403	2246	3313
404	2251	3307
405	2257	3302
406	2265	3300
407	2273	3298
408	2276	3289
409	2282	3284
410	2288	3279
411	2293	3272
412	2297	3264
413	2299	3254
414	2304	3248
415	2307	3238
416	2312	3232
417	2317	3227
418	2321	3218
419	2324	3210
420	2327	3201
421	2330	3192
422	2335	3185
423	2338	3176
424	2341	3167
425	2346	3161
426	2351	3155
427	2357	3151
428	2362	3144
429	2365	3136
430	2368	3126
431	2371	3118
432	2376	3111
433	2379	3103
434	2383	3095
435	2387	3088
436	2393	3083
437	2396	3074
438	2401	3068
439	2404	3060
440	2407	3052
441	2410	3043
442	2415	3037
443	2433	3047
444	2436	3038
445	2444	3036
446	2447	3027
447	2452	3021
448	2455	3013
449	2458	3004
450	2465	3001
451	2470	2995
452	2477	2991
453	2481	2984
454	2483	2975
455	2486	2966
456	2490	2958
457	2493	2950
458	2497	2943
459	2500	2935
460	2503	2926
461	2508	2921
462	2513	2914
463	2516	2906
464	2520	2900
465	2524	2893
466	2532	2889
467	2537	2884
468	2543	2879
469	2549	2875
470	2555	2870
471	2559	2863
472	2562	2854
473	2568	2850
474	2570	2841
475	2573	2833
476	2575	2824
477	2579	2817
478	2582	2809
479	2585	2801
480	2594	2799
481	2597	2791
482	2600	2783
483	2605	2777
484	2609	2770
485	2613	2764
486	2621	2761
487	2627	2756
488	2630	2748
489	2636	2743
490	2638	2734
491	2643	2729
492	2647	2722
493	2653	2718
494	2657	2711
495	2665	2708
496	2667	2699
497	2677	2698
498	2679	2689
499	2681	2681
500	2685	2674
501	2689	2667
502	2694	2662
503	2697	2654
504	2699	2646
505	2702	2638
506	2710	2636
507	2714	2628
508	2718	2622
509	2723	2616
510	2728	2611
511	2731	2602
512	2738	2600
513	2743	2593
514	2747	2587
515	2749	2579
516	2753	2572
517	2757	2565
518	2759	2557
519	2765	2552
520	2768	2545
521	2771	2538
522	2778	2533
523	2784	2529
524	2787	2522
525	2790	2514
526	2794	2507
527	2799	2502
528	2803	2495
529	2809	2491
530	2811	2483
531	2815	2476
532	2818	2469
533	2828	2467
534	2834	2463
535	2838	2456
536	2841	2449
537	2846	2444
538	2852	2439
539	2856	2433
540	2859	2426
541	2864	2420
542	2869	2414
543	2875	2410
544	2878	2402
545	2881	2395
546	2884	2388
547	2888	2382
548	2895	2378
549	2899	2372
550	2906	2368
551	2910	2362
552	2912	2354
553	2917	2348
554	2923	2343
555	2927	2337
556	2930	2330
557	2933	2323
558	2936	2316
559	2939	2309
560	2941	2301
561	2946	2296
562	2950	2290
563	2953	2283
564	2957	2276
565	2959	2269
566	2963	2263
567	2973	2261
568	2978	2256
569	2980	2248
570	2985	2243
571	2988	2235
572	2993	2231
573	2996	2223
574	3001	2218
575	3009	2215
576	3014	2210
577	3018	2203
578	3025	2199
579	3029	2193
580	3034	2188
581	3037	2181
582	3039	2174
583	3042	2167
584	3049	2163
585	3051	2156
586	3058	2152
587	3064	2147
588	3070	2142
589	3074	2136
590	3077	2129
591	3082	2124
592	3086	2118
593	3093	2114
594	3096	2107
595	3103	2103
596	3104	2095
597	3106	2088
598	3112	2083
599	3115	2076
600	3119	2070
601	3122	2064
602	3124	2057
603	3126	2050
604	3128	2042
605	3132	2036
606	3135	2030
607	3139	2024
608	3143	2018
609	3146	2011
610	3150	2005
611	3153	1999
612	3157	1993
613	3161	1987
614	3164	1980
615	3170	1976
616	3175	1971
617	3181	1966
618	3186	1961
619	3192	1956
620	3196	1950
621	3199	1944
622	3204	1939
623	3209	1933
624	3214	1928
625	3217	1922
626	3229	1920
627	3236	1916
628	3240	1911
629	3249	1908
630	3251	1901
631	3256	1896
632	3261	1890
633	3270	1888
634	3277	1884
635	3281	1877
636	3292	1876
637	3302	1873
638	3314	1872
639	3332	1874
640	3350	1876
641	3358	1872
642	3370	1871
643	3386	1871
644	3392	1867
645	3399	1863
646	3404	1857
647	3409	1852
648	3412	1845
649	3425	1844
650	3432	1840
651	3437	1834
652	3443	1829
653	3448	1824
654	3454	1819
655	3466	1817
656	3471	1812
657	3475	1806
658	3478	1799
659	3483	1794
660	3486	1788
661	3489	1781
662	3491	1774
663	3500	1771
664	3503	1765
665	3505	1758
666	3508	1751
667	3513	1746
668	3517	1740
669	3519	1733
670	3522	1727
671	3525	1720
672	3530	1715
673	3532	1708
674	3536	1702
675	3539	1696
676	3541	1689
677	3544	1683
678	3548	1677
679	3554	1672
680	3556	1666
681	3560	1660
682	3563	1653
683	3565	1647
684	3569	1641
685	3572	1635
686	3577	1629
687	3579	1623
688	3583	1617
689	3587	1611
690	3593	1606
691	3595	1600
692	3598	1594
693	3601	1587
694	3604	1581
695	3611	1577
696	3615	1571
697	3617	1565
698	3619	1558
699	3623	1553
700	3631	1548
701	3634	1542
702	3636	1536
703	3640	1530
704	3644	1524
705	3647	1518
706	3650	1512
707	3653	1506
708	3658	1501
709	3661	1495
710	3668	1490
711	3680	1488
712	3687	1484
713	3724	1491
714	3729	1486
715	3735	1481
716	3740	1476
717	3745	1471
718	3747	1464
719	3750	1458
720	3756	1453
721	3761	1448
722	3766	1442
723	3768	1436
724	3774	1431
725	3776	1425
726	3779	1419
727	3783	1413
728	3787	1407
729	3790	1402
730	3797	1397
731	3802	1392
732	3805	1386
733	3807	1379
734	3809	1373
735	3813	1367
736	3827	1365
737	3831	1360
738	3834	1354
739	3837	1348
740	3842	1343
741	3846	1337
742	3851	1332
743	3855	1326
744	3859	1321
745	3864	1315
746	3866	1309
747	3870	1303
748	3872	1297
749	3875	1291
750	3877	1285
751	3880	1279
752	3882	1273
753	3884	1267
754	3886	1261
755	3888	1254
756	3890	1248
757	3893	1243
758	3895	1237
759	3897	1230
760	3899	1224
761	3901	1218
762	3902	1212
763	3903	1205
764	3905	1199
765	3906	1193
766	3908	1187
767	3909	1181
768	3911	1174
769	3913	1168
770	3914	1162
771	3915	1156
772	3917	1150
773	3919	1144
774	3920	1138
775	3921	1132
776	3923	1126
777	3925	1120
778	3926	1113
779	3928	1107
780	3929	1101
781	3931	1095
782	3932	1089
783	3934	1084
784	3936	1078
785	3937	1072
786	3939	1066
787	3940	1060
788	3942	1054
789	3943	1048
790	3944	1042
791	3946	1036
792	3947	1030
793	3948	1024
794	3950	1018
795	3951	1012
796	3953	1006
797	3954	1000
798	3956	995
799	3957	989
800	3958	983
801	3959	977
802	3961	971
803	3963	966
804	3964	960
805	3965	954
806	3967	948
807	3968	942
808	3969	937
809	3970	931
810	3972	925
811	3973	919
812	3974	914
813	3975	908
814	3976	902
815	3978	897
816	3979	891
817	3980	885
818	3981	879
819	3982	874
820	3983	868
821	3984	862
822	3985	857
823	3986	851
824	3988	845
825	3989	840
826	3990	834
827	3991	829
828	3992	823
829	3994	818
830	3995	812
831	3996	807
832	3998	801
833	3999	796
834	4000	790
835	4001	785
836	4002	779
837	4004	774
838	4005	768
839	4006	763
840	4007	757
841	4008	752
842	4009	746
843	4010	741
844	4012	735
845	4012	730
846	4014	725
847	4016	719
848	4017	714
849	4018	709
850	4019	703
851	4020	698
852	4021	693
853	4022	687
854	4023	682
855	4024	677
856	4025	671
857	4026	666
858	4028	661
859	4029	655
860	4030	650
861	4031	645
862	4032	640
863	4033	634
864	4034	629
865	4036	624
866	4037	619
867	4038	614
868	4039	608
869	4040	603
870	4041	598
871	4043	593
872	4044	588
873	4045	583
874	4047	578
875	4049	573
876	4049	568
877	4050	562
878	4052	557
879	4053	552
880	4054	547
881	4055	542
882	4056	537
883	4058	532
884	4059	527
885	4060	522
886	4061	517
887	4062	512
888	4064	507
889	4065	502
890	4066	497
891	4068	492
892	4069	487
893	4070	482
894	4071	477
895	4072	472
896	4073	467
897	4074	462
898	4075	457
899	4076	452
900	4077	448
901	4078	443
902	4079	438
903	4080	433
904	4082	428
905	4083	423
906	4084	418
907	4086	414
908	4087	409
909	4088	404
910	4090	399
911	4091	394
912	4092	389
913	4093	385
914	4094	380
915	4095	375
916	4096	370
917	4097	366
918	4099	361
919	4100	356
920	4102	351
921	4103	347
922	4104	342
923	4106	337
924	4107	333
925	4108	328
926	4109	323
927	4111	318
928	4112	314
929	4114	309
930	4115	304
931	4116	300
932	4117	295
933	4118	291
934	4119	286
935	4120	281
936	4121	277
937	4123	272
938	4124	267
939	4125	263
940	4125	258
941	4126	254
942	4128	249
943	4129	244
944	4130	240
945	4131	235
946	4132	231
947	4133	226
948	4134	222
949	4135	217
950	4136	213
951	4137	208
952	4139	204
953	4140	199
954	4141	195
955	4142	190
956	4143	186
957	4144	181
958	4145	177
959	4146	172
960	4147	168
961	4148	163
962	4149	159
963	4150	154
964	4151	150
965	4152	146
966	4153	141
967	4154	137
968	4155	132
969	4156	128
970	4157	124
971	4158	119
972	4159	115
973	4160	111
974	4162	106
975	4163	102
976	4164	98
977	4165	93
978	4166	89
979	4167	85
980	4168	80
981	4169	76
982	4170	72
983	4172	67
984	4173	63
985	4174	59
986	4175	54
987	4176	50
988	4177	46
989	4178	42
990	4179	37
991	4180	33
992	4181	29
993	4182	25
994	4183	21
995	4184	16
996	4186	12
997	4187	8
998	4188	4
999	4189	0
5	0
3	5
999	5215	0
	5182	5
999	5186	0
